YEAR,SCH_OP_CARRIER_AIRLINE_ID,SCH_OP_CARRIER_FL_NUM,OP_UNIQUE_CARRIER,ORIGIN,DEST,DEP_DELAY,ARR_DELAY,CANCELLED,AIR_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
2026,,,AS,ORD,SEA,84.0,62.0,0.0,250.0,1721.0,0.0,0.0,0.0,0.0,62.0
2026,,,F9,DFW,DEN,35.0,23.0,0.0,96.0,641.0,23.0,0.0,0.0,0.0,0.0
2026,,,WN,BWI,SRQ,23.0,1.0,0.0,119.0,880.0,,,,,
2026,,,AA,DFW,DEN,7.0,-5.0,0.0,95.0,641.0,,,,,
2026,,,OH,MLI,DFW,3.0,-12.0,0.0,103.0,691.0,,,,,
2026,,,9E,RDU,EWR,22.0,3.0,0.0,70.0,416.0,,,,,
2026,,,UA,IAD,STT,26.0,84.0,0.0,210.0,1606.0,0.0,26.0,58.0,0.0,0.0
2026,,,AS,SEA,BZN,37.0,34.0,0.0,68.0,543.0,0.0,0.0,0.0,0.0,34.0
2026,,,9E,RDU,DCA,31.0,50.0,0.0,45.0,227.0,5.0,0.0,19.0,0.0,26.0
2026,,,WN,AUS,STL,8.0,4.0,0.0,102.0,721.0,,,,,
2026,,,WN,SEA,SJC,11.0,-2.0,0.0,98.0,696.0,,,,,
2026,,,OO,ORD,MLI,41.0,58.0,0.0,29.0,139.0,0.0,0.0,17.0,0.0,41.0
2026,,,G4,FLL,TYS,4.0,3.0,0.0,100.0,709.0,,,,,
2026,,,WN,SJC,HNL,34.0,-7.0,0.0,302.0,2417.0,,,,,
2026,,,UA,ORD,FLL,5.0,-19.0,0.0,146.0,1182.0,,,,,
2026,,,OH,DCA,ATL,8.0,83.0,0.0,88.0,547.0,8.0,0.0,75.0,0.0,0.0
2026,,,OO,XWA,MSP,41.0,47.0,0.0,77.0,553.0,41.0,0.0,6.0,0.0,0.0
2026,,,WN,MSP,DEN,35.0,31.0,0.0,100.0,680.0,4.0,0.0,0.0,0.0,27.0
2026,,,WN,MCO,MIA,20.0,9.0,0.0,37.0,192.0,,,,,
2026,,,DL,IAD,ATL,5.0,-21.0,0.0,81.0,534.0,,,,,
2026,,,F9,LAS,DEN,86.0,69.0,0.0,85.0,628.0,69.0,0.0,0.0,0.0,0.0
2026,,,OO,DEN,ASE,8.0,-8.0,0.0,27.0,125.0,,,,,
2026,,,WN,MCO,SJU,11.0,2.0,0.0,143.0,1188.0,,,,,
2026,,,AA,CLT,MIA,32.0,25.0,0.0,99.0,650.0,0.0,0.0,0.0,0.0,25.0
2026,,,WN,OAK,SEA,22.0,-6.0,0.0,86.0,672.0,,,,,
2026,,,UA,CLE,ORD,11.0,23.0,0.0,53.0,316.0,1.0,0.0,12.0,0.0,10.0
2026,,,WN,STL,LAX,38.0,28.0,0.0,215.0,1592.0,0.0,0.0,0.0,0.0,28.0
2026,,,WN,BWI,CVG,11.0,-5.0,0.0,69.0,430.0,,,,,
2026,,,WN,DCA,DAL,16.0,-24.0,0.0,161.0,1184.0,,,,,
2026,,,AA,MIA,MSP,1.0,-11.0,0.0,204.0,1501.0,,,,,
2026,,,WN,RSW,MCI,18.0,-2.0,0.0,168.0,1155.0,,,,,
2026,,,AA,CLT,IND,16.0,6.0,0.0,72.0,427.0,,,,,
2026,,,WN,DAL,TPA,53.0,41.0,0.0,105.0,917.0,12.0,0.0,0.0,0.0,29.0
2026,,,WN,BUR,LAS,34.0,27.0,0.0,40.0,223.0,0.0,0.0,0.0,0.0,27.0
2026,,,C5,ROC,IAD,26.0,71.0,0.0,54.0,287.0,4.0,0.0,45.0,0.0,22.0
2026,,,AA,SJU,CLT,25.0,-2.0,0.0,189.0,1475.0,,,,,
2026,,,WN,MDW,PHL,6.0,-1.0,0.0,85.0,668.0,,,,,
2026,,,YX,LGA,RDU,7.0,4.0,0.0,72.0,431.0,,,,,
2026,,,PT,CLT,ILM,5.0,-3.0,0.0,34.0,185.0,,,,,
2026,,,G7,EWR,GSO,41.0,41.0,0.0,76.0,445.0,3.0,0.0,0.0,0.0,38.0
2026,,,DL,DTW,RDU,13.0,2.0,0.0,73.0,501.0,,,,,
2026,,,OH,CLT,BTV,15.0,2.0,0.0,100.0,761.0,,,,,
2026,,,PT,SYR,BOS,4.0,-9.0,0.0,44.0,265.0,,,,,
2026,,,UA,DEN,ANC,6.0,-8.0,0.0,320.0,2405.0,,,,,
2026,,,DL,ATL,SEA,29.0,28.0,0.0,311.0,2182.0,28.0,0.0,0.0,0.0,0.0
2026,,,AA,BOS,LAX,3.0,-45.0,0.0,315.0,2611.0,,,,,
2026,,,WN,MCO,MHT,11.0,11.0,0.0,154.0,1142.0,,,,,
2026,,,DL,MEM,ATL,92.0,66.0,0.0,47.0,332.0,3.0,0.0,0.0,0.0,63.0
2026,,,DL,DCA,DTW,29.0,16.0,0.0,74.0,405.0,1.0,0.0,0.0,0.0,15.0
2026,,,OO,BPT,DFW,5.0,-2.0,0.0,48.0,270.0,,,,,
2026,,,AA,ORD,LAX,36.0,7.0,0.0,225.0,1744.0,,,,,
2026,,,WN,MCI,LAS,40.0,19.0,0.0,155.0,1139.0,0.0,0.0,19.0,0.0,0.0
2026,,,WN,SNA,LAS,9.0,-1.0,0.0,42.0,226.0,,,,,
2026,,,AS,SJC,SEA,1.0,-10.0,0.0,104.0,696.0,,,,,
2026,,,AS,SEA,SMF,11.0,-2.0,0.0,77.0,605.0,,,,,
2026,,,DL,LAS,JFK,5.0,-8.0,0.0,240.0,2248.0,,,,,
2026,,,UA,ORD,PHX,7.0,-3.0,0.0,196.0,1440.0,,,,,
2026,,,DL,TPA,DTW,11.0,-14.0,0.0,120.0,983.0,,,,,
2026,,,OO,MSP,IND,14.0,22.0,0.0,68.0,503.0,14.0,0.0,8.0,0.0,0.0
2026,,,WN,OKC,LAS,7.0,3.0,0.0,144.0,986.0,,,,,
2026,,,UA,EWR,SFO,60.0,2.0,0.0,316.0,2565.0,,,,,
2026,,,WN,BHM,BNA,20.0,13.0,0.0,42.0,177.0,,,,,
2026,,,WN,FLL,DAL,6.0,2.0,0.0,170.0,1108.0,,,,,
2026,,,WN,STL,DCA,8.0,-1.0,0.0,90.0,719.0,,,,,
2026,,,AA,DFW,SJU,27.0,14.0,0.0,245.0,2165.0,,,,,
2026,,,AA,DFW,JAX,72.0,64.0,0.0,108.0,917.0,44.0,0.0,0.0,0.0,20.0
2026,,,MQ,DFW,BHM,4.0,-4.0,0.0,77.0,597.0,,,,,
2026,,,WN,DEN,DTW,58.0,57.0,0.0,135.0,1123.0,49.0,0.0,0.0,0.0,8.0
2026,,,WN,BWI,MHT,4.0,-15.0,0.0,55.0,377.0,,,,,
2026,,,UA,IAH,ORD,6.0,8.0,0.0,126.0,925.0,,,,,
2026,,,AA,DFW,MIA,26.0,11.0,0.0,135.0,1121.0,,,,,
2026,,,B6,JFK,ATL,30.0,23.0,0.0,131.0,760.0,3.0,0.0,0.0,0.0,20.0
2026,,,AA,AUS,CLT,12.0,8.0,0.0,121.0,1032.0,,,,,
2026,,,DL,SLC,EWR,16.0,2.0,0.0,221.0,1969.0,,,,,
2026,,,OH,SAV,PHL,5.0,8.0,0.0,88.0,630.0,,,,,
2026,,,YX,LGA,CMH,34.0,24.0,0.0,91.0,479.0,0.0,0.0,0.0,0.0,24.0
2026,,,DL,JFK,DEN,75.0,97.0,0.0,257.0,1626.0,75.0,0.0,22.0,0.0,0.0
2026,,,WN,LGB,DEN,18.0,13.0,0.0,113.0,854.0,,,,,
2026,,,DL,ATL,ORD,9.0,58.0,0.0,94.0,606.0,0.0,9.0,49.0,0.0,0.0
2026,,,AA,PHX,LAX,55.0,36.0,0.0,57.0,370.0,0.0,0.0,0.0,0.0,36.0
2026,,,WN,MCO,DAL,28.0,47.0,0.0,150.0,973.0,28.0,0.0,19.0,0.0,0.0
2026,,,QX,PAE,LAS,16.0,3.0,0.0,123.0,894.0,,,,,
2026,,,WN,LGB,ABQ,5.0,-10.0,0.0,78.0,664.0,,,,,
2026,,,AA,DCA,DFW,21.0,7.0,0.0,178.0,1192.0,,,,,
2026,,,OO,DEN,SLC,70.0,67.0,0.0,71.0,391.0,67.0,0.0,0.0,0.0,0.0
2026,,,QX,LAX,SFO,87.0,81.0,0.0,62.0,337.0,0.0,0.0,0.0,0.0,81.0
2026,,,MQ,MIA,AVL,64.0,77.0,0.0,109.0,677.0,0.0,0.0,20.0,0.0,57.0
2026,,,PT,PHL,ART,8.0,-3.0,0.0,52.0,287.0,,,,,
2026,,,AS,HNL,OGG,28.0,32.0,0.0,22.0,101.0,4.0,0.0,0.0,0.0,28.0
2026,,,WN,DCA,DAL,230.0,233.0,0.0,203.0,1184.0,11.0,0.0,3.0,0.0,219.0
2026,,,WN,LAS,HNL,47.0,18.0,0.0,352.0,2762.0,18.0,0.0,0.0,0.0,0.0
2026,,,MQ,DFW,GNV,15.0,5.0,0.0,109.0,900.0,,,,,
2026,,,WN,BWI,FLL,3.0,-12.0,0.0,135.0,925.0,,,,,
2026,,,YX,BNA,RDU,15.0,22.0,0.0,63.0,442.0,0.0,0.0,7.0,0.0,15.0
2026,,,YX,BOS,IND,9.0,6.0,0.0,147.0,818.0,,,,,
2026,,,MQ,STL,BOS,3.0,-2.0,0.0,132.0,1047.0,,,,,
2026,,,MQ,ORD,MSP,4.0,-12.0,0.0,68.0,334.0,,,,,
2026,,,MQ,LBB,PHX,1.0,-22.0,0.0,100.0,588.0,,,,,
2026,,,UA,SFO,EWR,10.0,36.0,0.0,264.0,2565.0,10.0,0.0,26.0,0.0,0.0
2026,,,DL,CMH,ATL,1.0,-30.0,0.0,61.0,447.0,,,,,
2026,,,YX,AVL,LGA,3.0,-4.0,0.0,87.0,599.0,,,,,
2026,,,UA,ORD,IAH,1.0,-26.0,0.0,129.0,925.0,,,,,
2026,,,PT,TLH,CLT,30.0,13.0,0.0,55.0,386.0,,,,,
2026,,,YX,EWR,CLE,19.0,20.0,0.0,79.0,404.0,4.0,0.0,1.0,0.0,15.0
2026,,,DL,MCO,LAX,20.0,-16.0,0.0,279.0,2218.0,,,,,
2026,,,WN,LAX,RNO,5.0,-3.0,0.0,65.0,390.0,,,,,
2026,,,DL,EYW,ATL,6.0,11.0,0.0,106.0,646.0,,,,,
2026,,,WN,DEN,BOS,12.0,-2.0,0.0,191.0,1754.0,,,,,
2026,,,WN,ALB,MCO,6.0,-6.0,0.0,163.0,1073.0,,,,,
2026,,,AA,ORD,LGA,72.0,83.0,0.0,119.0,733.0,72.0,0.0,11.0,0.0,0.0
2026,,,AS,LAS,PDX,2.0,14.0,0.0,135.0,763.0,,,,,
2026,,,WN,STL,TPA,7.0,-6.0,0.0,107.0,869.0,,,,,
2026,,,DL,SEA,ORD,16.0,9.0,0.0,204.0,1721.0,,,,,
2026,,,WN,SDF,BNA,13.0,13.0,0.0,37.0,151.0,,,,,
2026,,,DL,MCO,SEA,42.0,6.0,0.0,332.0,2554.0,,,,,
2026,,,WN,SAN,PHX,1.0,-12.0,0.0,47.0,304.0,,,,,
2026,,,OO,XNA,DEN,1216.0,1253.0,0.0,104.0,616.0,0.0,0.0,37.0,0.0,1216.0
2026,,,F9,DTW,PHX,4.0,-54.0,0.0,206.0,1671.0,,,,,
2026,,,DL,PBI,ATL,19.0,-5.0,0.0,81.0,545.0,,,,,
2026,,,UA,PDX,IAH,3.0,-24.0,0.0,201.0,1825.0,,,,,
2026,,,WN,MCI,DEN,140.0,151.0,0.0,89.0,533.0,3.0,0.0,11.0,0.0,137.0
2026,,,OO,DTW,ATW,6.0,21.0,0.0,54.0,296.0,0.0,6.0,15.0,0.0,0.0
2026,,,OO,DTW,APN,50.0,33.0,0.0,42.0,198.0,0.0,33.0,0.0,0.0,0.0
2026,,,YV,IAH,ELP,25.0,11.0,0.0,102.0,667.0,,,,,
2026,,,MQ,ORD,OMA,8.0,53.0,0.0,83.0,416.0,0.0,8.0,45.0,0.0,0.0
2026,,,9E,ATL,ABE,324.0,326.0,0.0,96.0,692.0,0.0,0.0,2.0,0.0,324.0
2026,,,WN,DEN,OAK,6.0,9.0,0.0,139.0,957.0,,,,,
2026,,,WN,ISP,PBI,42.0,33.0,0.0,159.0,1052.0,20.0,0.0,0.0,0.0,13.0
2026,,,UA,ORD,DFW,11.0,-14.0,0.0,110.0,802.0,,,,,
2026,,,WN,STL,OKC,18.0,5.0,0.0,68.0,462.0,,,,,
2026,,,WN,SAT,LAS,46.0,36.0,0.0,149.0,1069.0,0.0,0.0,26.0,0.0,10.0
2026,,,AS,OMA,SEA,2.0,-13.0,0.0,185.0,1368.0,,,,,
2026,,,AA,LAX,KOA,29.0,16.0,0.0,314.0,2504.0,16.0,0.0,0.0,0.0,0.0
2026,,,WN,HOU,BNA,10.0,-2.0,0.0,88.0,670.0,,,,,
2026,,,WN,MCO,HOU,14.0,9.0,0.0,146.0,849.0,,,,,
2026,,,MQ,ORD,MLI,4.0,0.0,0.0,28.0,139.0,,,,,
2026,,,OO,LAX,SBP,25.0,12.0,0.0,29.0,155.0,,,,,
2026,,,WN,DEN,SMF,9.0,-4.0,0.0,128.0,909.0,,,,,
2026,,,YX,LGA,BOS,23.0,13.0,0.0,38.0,184.0,,,,,
2026,,,DL,MCO,MSP,38.0,23.0,0.0,187.0,1310.0,23.0,0.0,0.0,0.0,0.0
2026,,,WN,ORF,BWI,17.0,20.0,0.0,50.0,159.0,0.0,0.0,3.0,0.0,17.0
2026,,,AS,LAX,KOA,20.0,6.0,0.0,302.0,2504.0,,,,,
2026,,,AA,DFW,IND,149.0,143.0,0.0,96.0,761.0,0.0,143.0,0.0,0.0,0.0
2026,,,YX,JFK,BOS,61.0,58.0,0.0,37.0,187.0,0.0,0.0,0.0,0.0,58.0
2026,,,WN,CLE,LAS,8.0,-15.0,0.0,267.0,1824.0,,,,,
2026,,,F9,PHL,ATL,8.0,16.0,0.0,96.0,666.0,0.0,8.0,8.0,0.0,0.0
2026,,,PT,CLT,FAY,3.0,15.0,0.0,25.0,118.0,0.0,0.0,12.0,0.0,3.0
2026,,,PT,TYS,PHL,16.0,7.0,0.0,79.0,555.0,,,,,
2026,,,WN,HRL,HOU,4.0,-11.0,0.0,45.0,277.0,,,,,
2026,,,AA,DFW,MIA,119.0,95.0,0.0,119.0,1121.0,28.0,0.0,0.0,0.0,67.0
2026,,,OO,PHX,TUL,58.0,45.0,0.0,112.0,935.0,45.0,0.0,0.0,0.0,0.0
2026,,,WN,DAL,DEN,18.0,21.0,0.0,101.0,651.0,18.0,0.0,3.0,0.0,0.0
2026,,,OO,TUS,PDX,206.0,198.0,0.0,165.0,1119.0,198.0,0.0,0.0,0.0,0.0
2026,,,WN,BNA,ECP,22.0,7.0,0.0,55.0,401.0,,,,,
2026,,,NK,DTW,ATL,42.0,30.0,0.0,92.0,594.0,0.0,30.0,0.0,0.0,0.0
2026,,,NK,FLL,DFW,129.0,96.0,0.0,161.0,1119.0,2.0,0.0,1.0,0.0,93.0
2026,,,WN,PIT,BWI,19.0,5.0,0.0,44.0,210.0,,,,,
2026,,,AA,DFW,RSW,25.0,6.0,0.0,116.0,1017.0,,,,,
2026,,,YV,IAH,OKC,25.0,18.0,0.0,62.0,395.0,0.0,0.0,18.0,0.0,0.0
2026,,,DL,MIA,DCA,275.0,258.0,0.0,114.0,919.0,0.0,0.0,0.0,0.0,258.0
2026,,,C5,ITH,IAD,116.0,131.0,0.0,53.0,250.0,116.0,0.0,15.0,0.0,0.0
2026,,,AA,CLE,PHX,171.0,210.0,0.0,235.0,1737.0,0.0,171.0,39.0,0.0,0.0
2026,,,UA,DEN,OMA,1.0,-1.0,0.0,61.0,472.0,,,,,
2026,,,WN,DAL,COS,49.0,41.0,0.0,93.0,602.0,0.0,0.0,0.0,0.0,41.0
2026,,,B6,EWR,PBI,26.0,3.0,0.0,132.0,1024.0,,,,,
2026,,,F9,ONT,LAS,195.0,182.0,0.0,36.0,197.0,182.0,0.0,0.0,0.0,0.0
2026,,,UA,IAH,SNA,19.0,-7.0,0.0,186.0,1346.0,,,,,
2026,,,AS,SEA,ORD,2.0,-13.0,0.0,201.0,1721.0,,,,,
2026,,,AS,PSC,SEA,103.0,77.0,0.0,38.0,172.0,0.0,0.0,0.0,0.0,77.0
2026,,,DL,DEN,SEA,16.0,-6.0,0.0,147.0,1024.0,,,,,
2026,,,B6,LAX,PBI,14.0,27.0,0.0,269.0,2330.0,6.0,0.0,21.0,0.0,0.0
2026,,,NK,EWR,AUS,23.0,0.0,0.0,218.0,1504.0,,,,,
2026,,,DL,LAS,SLC,12.0,0.0,0.0,54.0,368.0,,,,,
2026,,,WN,SLC,LAS,39.0,37.0,0.0,58.0,368.0,0.0,0.0,27.0,0.0,10.0
2026,,,WN,PVD,MCO,21.0,2.0,0.0,154.0,1072.0,,,,,
2026,,,WN,BNA,DEN,16.0,8.0,0.0,157.0,1013.0,,,,,
2026,,,DL,SLC,FCA,3.0,-8.0,0.0,83.0,532.0,,,,,
2026,,,PT,CLT,MGM,117.0,112.0,0.0,70.0,372.0,0.0,0.0,0.0,0.0,112.0
2026,,,OO,DTW,ELM,39.0,34.0,0.0,50.0,331.0,34.0,0.0,0.0,0.0,0.0
2026,,,OO,DEN,CPR,58.0,35.0,0.0,41.0,230.0,35.0,0.0,0.0,0.0,0.0
2026,,,DL,LGA,DFW,3.0,32.0,0.0,211.0,1389.0,0.0,0.0,32.0,0.0,0.0
2026,,,WN,BWI,PHX,5.0,5.0,0.0,301.0,1999.0,,,,,
2026,,,AS,SEA,FAI,2.0,-27.0,0.0,190.0,1533.0,,,,,
2026,,,G7,IAD,EWR,69.0,66.0,0.0,51.0,212.0,66.0,0.0,0.0,0.0,0.0
2026,,,WN,ELP,DAL,1.0,-7.0,0.0,82.0,562.0,,,,,
2026,,,AS,KOA,HNL,27.0,28.0,0.0,29.0,163.0,28.0,0.0,0.0,0.0,0.0
2026,,,OH,DCA,ORF,4.0,-9.0,0.0,28.0,142.0,,,,,
2026,,,B6,ISP,TPA,29.0,31.0,0.0,158.0,1034.0,29.0,0.0,2.0,0.0,0.0
2026,,,WN,DTW,MDW,7.0,-5.0,0.0,44.0,228.0,,,,,
2026,,,WN,CMH,DEN,50.0,36.0,0.0,165.0,1154.0,8.0,0.0,0.0,0.0,28.0
2026,,,AA,PHX,ABQ,9.0,3.0,0.0,47.0,328.0,,,,,
2026,,,MQ,SGF,DFW,36.0,40.0,0.0,65.0,364.0,36.0,0.0,4.0,0.0,0.0
2026,,,MQ,FAR,DFW,29.0,32.0,0.0,122.0,967.0,0.0,7.0,3.0,0.0,22.0
2026,,,WN,ONT,LAS,42.0,31.0,0.0,36.0,197.0,0.0,0.0,1.0,0.0,30.0
2026,,,UA,OMA,ORD,40.0,30.0,0.0,61.0,416.0,0.0,0.0,0.0,0.0,30.0
2026,,,UA,IAH,PHL,1.0,-12.0,0.0,147.0,1325.0,,,,,
2026,,,AA,SAT,DFW,113.0,99.0,0.0,45.0,247.0,0.0,0.0,0.0,0.0,99.0
2026,,,AS,ANC,SEA,14.0,-3.0,0.0,184.0,1448.0,,,,,
2026,,,YX,DCA,ROC,9.0,-8.0,0.0,51.0,296.0,,,,,
2026,,,WN,ATL,LGA,9.0,-1.0,0.0,96.0,762.0,,,,,
2026,,,AA,CLT,IAH,203.0,178.0,0.0,123.0,912.0,27.0,0.0,0.0,0.0,151.0
2026,,,WN,SMF,SAN,74.0,78.0,0.0,68.0,480.0,74.0,0.0,4.0,0.0,0.0
2026,,,B6,PHX,BOS,80.0,76.0,0.0,252.0,2300.0,53.0,0.0,0.0,0.0,23.0
2026,,,WN,BNA,PHL,1.0,-13.0,0.0,94.0,675.0,,,,,
2026,,,DL,MSP,FLL,1.0,2.0,0.0,174.0,1487.0,,,,,
2026,,,AS,ABQ,SEA,5.0,21.0,0.0,171.0,1180.0,0.0,0.0,21.0,0.0,0.0
2026,,,OO,FCA,SLC,11.0,14.0,0.0,73.0,532.0,,,,,
2026,,,WN,TPA,BWI,3.0,-19.0,0.0,100.0,842.0,,,,,
2026,,,WN,BWI,SRQ,10.0,-15.0,0.0,122.0,880.0,,,,,
2026,,,AS,SEA,FLL,14.0,-11.0,0.0,308.0,2717.0,,,,,
2026,,,DL,MSP,LAS,12.0,12.0,0.0,170.0,1299.0,,,,,
2026,,,MQ,DCA,ORD,18.0,3.0,0.0,106.0,612.0,,,,,
2026,,,WN,GEG,PHX,8.0,2.0,0.0,132.0,1020.0,,,,,
2026,,,DL,BNA,ATL,3.0,22.0,0.0,43.0,214.0,0.0,0.0,22.0,0.0,0.0
2026,,,UA,EWR,PBI,12.0,-17.0,0.0,143.0,1024.0,,,,,
2026,,,AS,SFO,PDX,1.0,-9.0,0.0,81.0,550.0,,,,,
2026,,,B6,FLL,LAS,113.0,103.0,0.0,293.0,2173.0,0.0,0.0,99.0,0.0,4.0
2026,,,NK,ACY,FLL,17.0,1.0,0.0,133.0,977.0,,,,,
2026,,,UA,BOS,SFO,108.0,101.0,0.0,354.0,2704.0,0.0,22.0,0.0,0.0,79.0
2026,,,UA,MIA,EWR,34.0,49.0,0.0,165.0,1085.0,13.0,0.0,15.0,0.0,21.0
2026,,,WN,CMH,LAS,6.0,-14.0,0.0,243.0,1771.0,,,,,
2026,,,OH,CAK,CLT,7.0,10.0,0.0,69.0,394.0,,,,,
